,id,item_id,position,path,protocol,mimetype,checksum,orientation,metadata,size,page,color,density,filename
95,192,191,,tableau_des_riches_running_dragon.png,file,image/png,d3777a29879c54466b2f76ef0ba19197,1,{},2071102,0,"rgb(232,216,184,1)",,tableau_des_riches_running_dragon.png
96,194,193,,unterweysung_a.jpg,file,image/jpeg,0aeff2ea2eef5be61aefb17160209dd1,1,{},54053,0,"rgb(248,248,232,1)",,unterweysung_a.jpg
97,196,193,2.0,unterweysung_b.jpg,file,image/jpeg,c9bd91f8c2626b33d8c233606cbfa1d7,1,{},61875,0,"rgb(248,248,232,1)",,unterweysung_b.jpg
98,198,193,3.0,unterweysung_d.jpg,file,image/jpeg,792204e62ccf21790f4caca937e2782b,1,{},56952,0,"rgb(248,248,232,1)",,unterweysung_d.jpg
99,200,193,4.0,unterweysung_f.jpg,file,image/jpeg,d230fd35abd52ad92c425c1b3e118a88,1,{},46953,0,"rgb(248,248,232,1)",,unterweysung_f.jpg
100,202,193,5.0,unterweysung_g.jpg,file,image/jpeg,f4179c328b5410f4c4811094822b9a2c,1,{},58261,0,"rgb(248,248,232,1)",,unterweysung_g.jpg
101,204,193,6.0,unterweysung_h.jpg,file,image/jpeg,f06a44a58e225eebb8132041a01371a2,1,{},57585,0,"rgb(248,248,232,1)",,unterweysung_h.jpg
102,206,193,7.0,unterweysung_i.jpg,file,image/jpeg,37f350973261f1886c0fc097363a536d,1,{},44745,0,"rgb(248,248,232,1)",,unterweysung_i.jpg
103,208,193,8.0,unterweysung_l.jpg,file,image/jpeg,4937f62de9a63fce6b49f2299334b46f,1,{},47078,0,"rgb(248,248,232,1)",,unterweysung_l.jpg
104,210,193,9.0,unterweysung_m.jpg,file,image/jpeg,1a3f7eb70265eeaf5c7d746a045f5f4e,1,{},57247,0,"rgb(248,248,232,1)",,unterweysung_m.jpg
105,212,193,10.0,unterweysung_n.jpg,file,image/jpeg,857a329cd72fe5dd591ba5afe4515903,1,{},59453,0,"rgb(248,248,232,1)",,unterweysung_n.jpg
106,214,193,11.0,unterweysung_o.jpg,file,image/jpeg,286e6cad2e53c235f681c244ddeefed8,1,{},57848,0,"rgb(248,248,232,1)",,unterweysung_o.jpg
107,216,193,12.0,unterweysung_p.jpg,file,image/jpeg,97ef23ed6e44fb0f9103075b34ce5066,1,{},53577,0,"rgb(248,248,232,1)",,unterweysung_p.jpg
108,218,193,13.0,unterweysung_r.jpg,file,image/jpeg,a2ab1db4e6be3c762b1ac5e893624038,1,{},56373,0,"rgb(248,248,232,1)",,unterweysung_r.jpg
109,220,193,14.0,unterweysung_s.jpg,file,image/jpeg,58ea9c81e1ac1bda526a68ea8042a40f,1,{},60870,0,"rgb(248,248,232,1)",,unterweysung_s.jpg
110,222,193,15.0,unterweysung_v.jpg,file,image/jpeg,3e1a6b7f9a75b1a8805c18654b09069b,1,{},49596,0,"rgb(248,248,232,1)",,unterweysung_v.jpg
111,224,193,16.0,unterweysung_y.jpg,file,image/jpeg,c566a05c0d1e0659d5b3dac40adc05e2,1,{},60156,0,"rgb(248,248,232,1)",,unterweysung_y.jpg
112,226,225,,wheel_alphabeth_dialogo_accrescere_memoria.jpg,file,image/jpeg,6ff89d989b628c13ccf67926883b2cc6,1,{},117092,0,"rgb(200,200,184,1)",,wheel_alphabeth_dialogo_accrescere_memoria.jpg
113,228,227,,wheel_logica_memorativa.png,file,image/png,a1dee59c0a5ceb1a59256c6fa750cce1,1,{},417594,0,"rgb(200,184,168,1)",,wheel_logica_memorativa.png
114,230,227,2.0,wheel_logica_memorativa_vg.svg,file,image/svg+xml,1c838f7855460f665a1d062d95bacd06,1,{},201565,0,"rgb(255,255,255,1)",72.0,wheel_logica_memorativa_vg.svg
115,232,227,3.0,wheel_logica_memorativa_white.png,file,image/png,adfc532351b4e148462dda82b364586b,1,{},1619986,0,"rgb(255,255,255,1)",,wheel_logica_memorativa_white.png
116,234,233,,wois-background.png,file,image/png,58cb997726a613e21ab2ffd57818f8f2,1,{},1877015,0,"rgb(24,24,24,1)",,wois-background.png
117,236,235,,wois-logo.png,file,image/png,7bebed5bda769033e3c99e5d1912c84b,1,{},12635218,0,"rgb(255,255,255,1)",,wois-logo.png
118,238,237,,wois-logo_vg.svg,file,image/svg+xml,800f04dcd7b3e2545e4de015f60d335f,1,{},1016179,0,"rgb(255,255,255,1)",72.0,wois-logo_vg.svg
