,value_id,datatype,text,data
243,244,http://www.w3.org/2001/XMLSchema#string,zodiac_ars_magna_lucis,
244,245,https://tropy.org/v1/tropy#date,1742401741000.0,
245,246,http://www.w3.org/2001/XMLSchema#string,zodiac_thesaurus_artificiosa,
246,247,https://tropy.org/v1/tropy#date,2025-03-19T15:40:14.833Z,
247,249,http://www.w3.org/2001/XMLSchema#string,Albrecht Dürer,
248,250,http://www.w3.org/2001/XMLSchema#anyURI,Underweysung der messung,
249,251,http://www.w3.org/2001/XMLSchema#date,1538,
250,255,http://www.w3.org/2001/XMLSchema#string,Melencolia I,
251,256,http://www.w3.org/2001/XMLSchema#string,Isabella Parasole,
252,257,text,lute,
253,258,text,organ,
254,259,text,harp,
255,261,http://www.w3.org/2001/XMLSchema#string,parasole_lace_pattern,
256,262,http://www.w3.org/2001/XMLSchema#string,lace_pattern,
257,263,text,moon,
258,264,text,sun,
259,265,text,basilisc,
260,266,http://www.w3.org/2001/XMLSchema#string,imaginary_bestiary,
261,267,http://www.w3.org/2001/XMLSchema#string,Robert Fludd,
262,268,http://www.w3.org/2001/XMLSchema#anyURI,De Naturae Simia,
263,269,http://www.w3.org/2001/XMLSchema#string,algorithmic_music_composition,
264,270,http://www.w3.org/2001/XMLSchema#string,bookwheel,
265,271,text,cogwheel,
266,272,text,bookwheel,
267,273,http://www.w3.org/2001/XMLSchema#string,de_musica_proportion,
268,274,http://www.w3.org/2001/XMLSchema#string,Harmony_of_the_Spheres,
269,275,text,hourglass,
270,277,text,magic_square,
271,278,http://www.w3.org/2001/XMLSchema#string,hermeticism,
272,279,http://www.w3.org/2001/XMLSchema#string,feminism,
273,280,http://www.w3.org/2001/XMLSchema#string,information_science,
274,281,http://www.w3.org/2001/XMLSchema#string,Orazio Toscanella,
275,282,http://www.w3.org/2001/XMLSchema#string,ars_combinatoria,
276,283,text,helm,
277,284,http://www.w3.org/2001/XMLSchema#string,emblem,
278,285,http://www.w3.org/2001/XMLSchema#string,art_of_memory,
279,286,http://www.w3.org/2001/XMLSchema#string,Underweysung der messung,
280,287,https://tropy.org/v1/tropy#date,1538,
281,288,http://www.w3.org/2001/XMLSchema#string,De Naturae Simia,
282,289,http://www.w3.org/2001/XMLSchema#string,cross,
283,291,http://www.w3.org/2001/XMLSchema#string,S_E_ODC_2025_call,
284,292,https://tropy.org/v1/tropy#date,2025-02-10T13:44:46.000Z,
285,293,http://www.w3.org/2001/XMLSchema#string,card,
286,294,http://www.w3.org/2001/XMLSchema#string,conference,
287,295,http://www.w3.org/2001/XMLSchema#string,ars_magna_sciendi_273_tree,
