"Object ID",FAAM-ID,Title,"Editorial annotations - Object ID","Handwritten annotations - Object ID"
15992302,KCA-030902419677,Capricio,,16002509
15992302,KCA-030902419677,Capricio,,15992201
15992302,KCA-030902419677,Capricio,,15992131
15992302,KCA-030902419677,Capricio,,15992116
15992302,KCA-030902419677,Capricio,,15992177
15992302,KCA-030902419677,Capricio,,15992229
15992302,KCA-030902419677,Capricio,,15992153
15992302,KCA-030902419677,Capricio,,15992224
15992302,KCA-030902419677,Capricio,,15992146
15992302,KCA-030902419677,Capricio,,15992127
15992302,KCA-030902419677,Capricio,,15992161
15992302,KCA-030902419677,Capricio,,15992216
15992302,KCA-030902419677,Capricio,,15992203
15992302,KCA-030902419677,Capricio,,15992204
15992302,KCA-030902419677,Capricio,,15992207
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992212
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992131
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992201
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992113
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992174
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992223
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992177
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992127
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992105
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,16002509
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992116
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992229
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992216
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992173
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992128
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992154
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996285,15992124
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992212
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992131
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992201
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992113
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992174
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992223
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992177
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992127
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992105
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,16002509
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992116
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992229
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992216
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992173
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992128
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992154
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15996291,15992124
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992212
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992212,15992131
