"Object ID",FAAM-ID,Title,Permalink,"Holding Institution",Shelfmark,"Related Manifestations","Score format",Keywords,Instrumentation,"Score complexity",Thumbnail,Notes,"Notes - Text","GitHub Image URL"
15992265,KCA-030902640017,"Offrande: (aquarelle)",https://anet.be/record/opacdkvc/c:lvd:12979564/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-DHOED-offrand-1,,"Full Score",song,voice,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902640017.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902640017/images/
15992265,KCA-030902640017,"Offrande: (aquarelle)",https://anet.be/record/opacdkvc/c:lvd:12979564/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-DHOED-offrand-1,,"Full Score",song,piano,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902640017.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902640017/images/
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",https://anet.be/record/opacdkvc/c:lvd:12959368/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-HAAKM-gracios-1,,"Polyphonic Parts",concerto,,"Mechanical print",https://faam.laboxix-xx.be/upload/media/KCA-030902505335.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902505335/images/
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",https://anet.be/record/opacdkvc/c:lvd:12959368/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-HAAKM-gracios-1,,"Polyphonic Parts",reduction,,"Mechanical print",https://faam.laboxix-xx.be/upload/media/KCA-030902505335.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902505335/images/
15992267,KCA-030902505335,"Gracioso: caprice de concert, op. 21",https://anet.be/record/opacdkvc/c:lvd:12959368/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-HAAKM-gracios-1,,"Polyphonic Parts",capriccio,,"Mechanical print",https://faam.laboxix-xx.be/upload/media/KCA-030902505335.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902505335/images/
15992268,KCA-03090250578,"Le songe de l'avenir: valse",https://anet.be/record/opacdkvc/c:lvd:12959980/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-ZWICK-songe-1,,"Polyphonic Parts","piano music",piano,"Mechanical print",https://faam.laboxix-xx.be/upload/media/KCA-03090250578.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-03090250578/images/
15992268,KCA-03090250578,"Le songe de l'avenir: valse",https://anet.be/record/opacdkvc/c:lvd:12959980/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-ZWICK-songe-1,,"Polyphonic Parts","dance music",piano,"Mechanical print",https://faam.laboxix-xx.be/upload/media/KCA-03090250578.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-03090250578/images/
15992269,KCA-030901824620,"Alma redemptoris",https://anet.be/record/opacdkvc/c:lvd:7040005/N,"Heritage Library Royal Conservatoire Antwerp",MM-KM-BENOI-almared-1,,"Full Score","choral music",voice,"Mechanical print",https://faam.laboxix-xx.be/upload/media/KCA-030901824620.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901824620/images/
15992269,KCA-030901824620,"Alma redemptoris",https://anet.be/record/opacdkvc/c:lvd:7040005/N,"Heritage Library Royal Conservatoire Antwerp",MM-KM-BENOI-almared-1,,"Full Score","choral music",organ,"Mechanical print",https://faam.laboxix-xx.be/upload/media/KCA-030901824620.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901824620/images/
15992269,KCA-030901824620,"Alma redemptoris",https://anet.be/record/opacdkvc/c:lvd:7040005/N,"Heritage Library Royal Conservatoire Antwerp",MM-KM-BENOI-almared-1,,"Full Score","Cecilian Movement",voice,"Mechanical print",https://faam.laboxix-xx.be/upload/media/KCA-030901824620.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901824620/images/
