Name,"Form of creative work","Wikidata QID","IMSLP ID","VIAF ID",composer,arranger
"Stabat Mater, IGP 90","liturgical music",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Alexandre-Étienne Choron"
"Stabat Mater, IGP 90","liturgical music",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Charles Burney"
"Stabat Mater, IGP 90",motet,Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Richard Wagner"
"Stabat Mater, IGP 90",motet,Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Stabat Mater, IGP 90",motet,Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Stabat Mater, IGP 90",motet,Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","William Barclay Squire"
"Stabat Mater, IGP 90",motet,Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Alexandre-Étienne Choron"
"Stabat Mater, IGP 90",motet,Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Charles Burney"
"Stabat Mater, IGP 90","Marian hymn",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Richard Wagner"
"Stabat Mater, IGP 90","Marian hymn",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Stabat Mater, IGP 90","Marian hymn",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Stabat Mater, IGP 90","Marian hymn",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","William Barclay Squire"
"Stabat Mater, IGP 90","Marian hymn",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Alexandre-Étienne Choron"
"Stabat Mater, IGP 90","Marian hymn",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Charles Burney"
"Fratres ego enim accepi",motet,Q124310060,,177618862,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Fratres ego enim accepi",motet,Q124310060,,177618862,"Giovanni Pierluigi da Palestrina","Charles Burney"
"Fratres ego enim accepi","liturgical music",Q124310060,,177618862,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Fratres ego enim accepi","liturgical music",Q124310060,,177618862,"Giovanni Pierluigi da Palestrina","Charles Burney"
"Missa O regem celi, IGP 470",mass,,"Missa O regem celi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Missa O regem celi, IGP 470",mass,,"Missa O regem celi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Xaver Haberl"
"Missa O regem celi, IGP 470","liturgical music",,"Missa O regem celi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Missa O regem celi, IGP 470","liturgical music",,"Missa O regem celi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Xaver Haberl"
"Missa O regem celi, IGP 470","parody mass",,"Missa O regem celi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Missa O regem celi, IGP 470","parody mass",,"Missa O regem celi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Xaver Haberl"
"Missa Papae Marcelli, IGP 56",mass,Q2717291,"Missa Papae Marcelli, IGP 56 (Palestrina, Giovanni Pierluigi da)",174540674,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Missa Papae Marcelli, IGP 56",mass,Q2717291,"Missa Papae Marcelli, IGP 56 (Palestrina, Giovanni Pierluigi da)",174540674,"Giovanni Pierluigi da Palestrina","Otto Goldschmidt"
"Missa Papae Marcelli, IGP 56",mass,Q2717291,"Missa Papae Marcelli, IGP 56 (Palestrina, Giovanni Pierluigi da)",174540674,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Missa Papae Marcelli, IGP 56",mass,Q2717291,"Missa Papae Marcelli, IGP 56 (Palestrina, Giovanni Pierluigi da)",174540674,"Giovanni Pierluigi da Palestrina","Stephan Lück"
"Jesu dulcis memoria",motet,Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Charles Bordes"
"Jesu dulcis memoria",motet,Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Pietro Alfieri"
"Jesu dulcis memoria",motet,Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Napoléon Joseph Ney"
"Jesu dulcis memoria",motet,Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Archibald Thompson Davison"
"Jesu dulcis memoria",motet,Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Stephan Lück"
"Jesu dulcis memoria","musical hoax",Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Charles Bordes"
"Jesu dulcis memoria","musical hoax",Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Pietro Alfieri"
"Jesu dulcis memoria","musical hoax",Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Napoléon Joseph Ney"
"Jesu dulcis memoria","musical hoax",Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Archibald Thompson Davison"
"Jesu dulcis memoria","musical hoax",Q124316601,"Jesu, dulcis memoria (Victoria, Tomás Luis de)",,"Tomás Luis de Victoria","Stephan Lück"
"O Ewigkeit, du Donnerwort, BWV 60","church cantata",Q288433,"O Ewigkeit, du Donnerwort, BWV 60 (Bach, Johann Sebastian)",174667692,"Johann Sebastian Bach","Wilhelm Rust"
"O Ewigkeit, du Donnerwort, BWV 60","liturgical music",Q288433,"O Ewigkeit, du Donnerwort, BWV 60 (Bach, Johann Sebastian)",174667692,"Johann Sebastian Bach","Wilhelm Rust"
"Salve Regina, Op.11","Marian hymn",,"Salve Regina, Op.11 (Gernsheim, Friedrich)",,"Friedrich Gernsheim",
"Salve Regina, Op.11","church cantata",,"Salve Regina, Op.11 (Gernsheim, Friedrich)",,"Friedrich Gernsheim",
"Salve Regina, Op.11","choral music",,"Salve Regina, Op.11 (Gernsheim, Friedrich)",,"Friedrich Gernsheim",
"Salve Regina, Op.11",hymn,,"Salve Regina, Op.11 (Gernsheim, Friedrich)",,"Friedrich Gernsheim",
"Nativitas gloriosae Virginis Mariae",motet,,"Nativitas gloriosae Virginis Mariae (Marenzio, Luca)",,"Luca Marenzio","Karl Proske"
"Nativitas gloriosae Virginis Mariae","liturgical music",,"Nativitas gloriosae Virginis Mariae (Marenzio, Luca)",,"Luca Marenzio","Karl Proske"
"Nativitas gloriosae Virginis Mariae","Marian hymn",,"Nativitas gloriosae Virginis Mariae (Marenzio, Luca)",,"Luca Marenzio","Karl Proske"
"Benedictus Dominus Deus Israel",motet,Q124315699,,,"Orazio Vecchi","Johann Gottfried Ferrenberg"
"Benedictus Dominus Deus Israel","liturgical music",Q124315699,,,"Orazio Vecchi","Johann Gottfried Ferrenberg"
"Pange lingua",motet,Q124315662,,,"Giammateo Asola","Johann Gottfried Ferrenberg"
"Vidi turbam magnam",motet,Q124358851,,182078847,"Giovanni Pierluigi da Palestrina","Karl Proske"
"O quam suavis est",motet,Q124358739,,,"Ruggiero Giovannelli","Karl Proske"
"O quam suavis est",motet,Q124358739,,,"Ruggiero Giovannelli","Friedrich Filitz"
"O quam suavis est","liturgical music",Q124358739,,,"Ruggiero Giovannelli","Karl Proske"
"O quam suavis est","liturgical music",Q124358739,,,"Ruggiero Giovannelli","Friedrich Filitz"
"Dum transisset sabbatum","liturgical music",Q124358672,,,"Jacob Reiner","Karl Proske"
"Dum transisset sabbatum",motet,Q124358672,,,"Jacob Reiner","Karl Proske"
"De profundis clamavi",motet,Q124358642,,,,
"De profundis clamavi","liturgical music",Q124358642,,,,
"Ecce Dominus veniet","liturgical music",Q124358564,,,,
"Ecce Dominus veniet",motet,Q124358564,,,,
"Sextus Psalmus poenitentialis, LV 799","Penitential Psalms",,"Sextus Psalmus poenitentialis, LV 799 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Sextus Psalmus poenitentialis, LV 799",psalm,,"Sextus Psalmus poenitentialis, LV 799 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Sextus Psalmus poenitentialis, LV 799","liturgical music",,"Sextus Psalmus poenitentialis, LV 799 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Congratulamini mihi, IGP 12",motet,,"Congratulamini mihi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Espagne"
"Congratulamini mihi, IGP 12",motet,,"Congratulamini mihi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Karl Proske"
"Congratulamini mihi, IGP 12",motet,,"Congratulamini mihi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Congratulamini mihi, IGP 12","liturgical music",,"Congratulamini mihi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Espagne"
"Congratulamini mihi, IGP 12","liturgical music",,"Congratulamini mihi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Karl Proske"
"Congratulamini mihi, IGP 12","liturgical music",,"Congratulamini mihi (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Secundus Psalmus poenitentialis, LV 795","Penitential Psalms",,"Secundus Psalmus poenitentialis, LV 795 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Secundus Psalmus poenitentialis, LV 795",psalm,,"Secundus Psalmus poenitentialis, LV 795 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Secundus Psalmus poenitentialis, LV 795","liturgical music",,"Secundus Psalmus poenitentialis, LV 795 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Tertius Psalmus poenitentialis, LV 796","Penitential Psalms",,"Tertius Psalmus poenitentialis, LV 796 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Tertius Psalmus poenitentialis, LV 796",psalm,,"Tertius Psalmus poenitentialis, LV 796 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Tertius Psalmus poenitentialis, LV 796","liturgical music",,"Tertius Psalmus poenitentialis, LV 796 (Lassus, Orlande de)",,"Orlande de Lassus","Charles Bordes"
"Psalmodiae Vespertinae pro Defuctis",psalm,,,,"Giovanni Maria Nanino","Charles Bordes"
"Psalmodiae Vespertinae pro Defuctis","Venetian polychoral style",,,,"Giovanni Maria Nanino","Charles Bordes"
"Psalmodiae Vespertinae pro Defuctis",fauxbourdon,,,,"Giovanni Maria Nanino","Charles Bordes"
"Psalmodiae Vespertinae pro Defuctis","music for the Requiem Mass",,,,"Giovanni Maria Nanino","Charles Bordes"
"Psalmodiae Vespertinae pro Defuctis",Vespers,,,,"Giovanni Maria Nanino","Charles Bordes"
"Psalmodiae Vespertinae pro Defuctis","liturgical music",,,,"Giovanni Maria Nanino","Charles Bordes"
"Psalmodiae Vespertinae",Vespers,,,,"Carolus Andreae","Charles Bordes"
"Psalmodiae Vespertinae",Vespers,,,,"Vincenzo Ruffo","Charles Bordes"
"Psalmodiae Vespertinae",fauxbourdon,,,,"Carolus Andreae","Charles Bordes"
"Psalmodiae Vespertinae",fauxbourdon,,,,"Vincenzo Ruffo","Charles Bordes"
"Psalmodiae Vespertinae",psalm,,,,"Carolus Andreae","Charles Bordes"
"Psalmodiae Vespertinae",psalm,,,,"Vincenzo Ruffo","Charles Bordes"
"Psalmodiae Vespertinae","liturgical music",,,,"Carolus Andreae","Charles Bordes"
"Psalmodiae Vespertinae","liturgical music",,,,"Vincenzo Ruffo","Charles Bordes"
