"Object ID",Name,"Wikidata QID","subclass of - Object ID","instance of - Object ID","musical parameter - Object ID","used by - Object ID"
15996318,"ad libitum",Q310735,15992162,15992102,16002391,15990792
15996318,"ad libitum",Q310735,15992162,15992102,16002391,15990789
15996318,"ad libitum",Q310735,15992162,15992102,16002774,15990792
15996318,"ad libitum",Q310735,15992162,15992102,16002774,15990789
15996318,"ad libitum",Q310735,15992162,15992175,16002391,15990792
15996318,"ad libitum",Q310735,15992162,15992175,16002391,15990789
15996318,"ad libitum",Q310735,15992162,15992175,16002774,15990792
15996318,"ad libitum",Q310735,15992162,15992175,16002774,15990789
16002129,"musica ficta",Q1852714,15992173,15992106,16002391,15990790
16002129,"musica ficta",Q1852714,15992173,15992106,16002391,15990791
