"Object ID",FAAM-ID,Title,"Musical Works - Object ID","[Agent] Agent - Object ID","[Agent] Role - Object ID","[Agent] Date Start","[Agent] Location Reference - Object ID","[Organisation] Organisation - Object ID","[Organisation] Date Start","[Organisation] Role - Object ID","[Organisation] Location Reference - Object ID"
15992327,KCA-030904386114,"Marsch, op. 17",16002449,16002448,15990789,,,,,,
15992328,KCA-030904478887,"2e symphonie : en do min, op. 17",16002451,16002450,15990789,,,16002597,20-02-1929,15990791,5544
15992328,KCA-030904478887,"2e symphonie : en do min, op. 17",16002451,15996176,15990793,20-02-1929,,16002597,20-02-1929,15990791,5544
15992329,KCA-030901696879,"Musik zu Shakespeare's ""Sturm"", Op. 8",,15996065,15990789,,,,,,
15992332,KCA-030902813853,"Kammersuite : für Streichorchester oder Streichquartett, op. 69",,16002140,15990789,,,,,,
15992332,KCA-030902813853,"Kammersuite : für Streichorchester oder Streichquartett, op. 69",,15996205,15990792,,,,,,
15992332,KCA-030902813853,"Kammersuite : für Streichorchester oder Streichquartett, op. 69",,15996205,15990793,,,,,,
15992333,KCA-030902126942,"Fantasia: voor Viola met klavier",,15996205,15990792,,,,,,
15992333,KCA-030902126942,"Fantasia: voor Viola met klavier",,16002469,15990789,1916,,,,,
15992334,KCA-030902215612,"Het daghet in den Oosten: fantasie op oude Vlaamse volkmelodieën",,15996205,15990793,,,,,,
15992334,KCA-030902215612,"Het daghet in den Oosten: fantasie op oude Vlaamse volkmelodieën",,16002594,15990789,,,,,,
15992334,KCA-030902215612,"Het daghet in den Oosten: fantasie op oude Vlaamse volkmelodieën",,16002777,15996312,,,,,,
15992335,KCA-030901842382,"Les Amazones: polka",,15996205,15990793,,,,,,
15992335,KCA-030901842382,"Les Amazones: polka",,16002778,15990789,,,,,,
15992336,KCA-030901847712,"l'Arbre de Noël: valse brillante",,16002452,15990789,,,,,,
15992336,KCA-030901847712,"l'Arbre de Noël: valse brillante",,15996205,15990792,,,,,,
15992337,KCA-030901351285,"Sérénade andalouse: pour violon et piano, op. 28",16002780,16002433,15996312,,34371,,,,
15992337,KCA-030901351285,"Sérénade andalouse: pour violon et piano, op. 28",16002780,16002781,15990789,,,,,,
15992337,KCA-030901351285,"Sérénade andalouse: pour violon et piano, op. 28",16002780,16002779,15990789,,,,,,
15992338,KCA-030901292380,"Sérénade andalouse: pour violon et piano, op. 28",16002780,16002433,15996312,,34371,,,,
15992338,KCA-030901292380,"Sérénade andalouse: pour violon et piano, op. 28",16002780,16002781,15990789,,,,,,
15992338,KCA-030901292380,"Sérénade andalouse: pour violon et piano, op. 28",16002780,16002779,15990789,,,,,,
15992339,KCA-030902809604,"Violin concerto : G major, KV 216 = Concierto para violin: sol mayor, KV 216",,15996253,15996312,,54016,,,,
15992339,KCA-030902809604,"Violin concerto : G major, KV 216 = Concierto para violin: sol mayor, KV 216",,15996205,15990793,,,,,,
15992339,KCA-030902809604,"Violin concerto : G major, KV 216 = Concierto para violin: sol mayor, KV 216",,15995920,15990789,,,,,,
15992340,KCA-030902707238,"Chacone grave",,16002784,15990789,1675,,,,,
15992340,KCA-030902707238,"Chacone grave",,16002783,15990790,,,,,,
15992340,KCA-030902707238,"Chacone grave",,16002782,15990790,,,,,,
15992340,KCA-030902707238,"Chacone grave",,15995956,15996312,,47086,,,,
15992342,KCA-030902508966,"Cours pratique et théorique d'harmonie",,15996205,15990792,,,,,,
15992342,KCA-030902508966,"Cours pratique et théorique d'harmonie",,16002430,15990789,,,,,,
15992343,KCA-030904338792,"Cours pratique et théorique d'harmonie",,15996205,15990792,,,,,,
15992343,KCA-030904338792,"Cours pratique et théorique d'harmonie",,16002430,15990789,,,,,,
15992344,KCA-030902707634,"Huit petits préludes et fugues, trois préludes, neuf fugues, cinq fantaisies",16002786,15996205,15990792,,,,,,
15992344,KCA-030902707634,"Huit petits préludes et fugues, trois préludes, neuf fugues, cinq fantaisies",16002786,16002785,15990789,,,,,,
15992344,KCA-030902707634,"Huit petits préludes et fugues, trois préludes, neuf fugues, cinq fantaisies",16002786,15996220,15990789,,,,,,
15992345,KCA-030904127666,"Festpräludium : zu dem Choral ""Ein' feste Burg ist unser Gott"": für die Orgel, op. 38",16002795,15996205,15990792,,,,,,
15992345,KCA-030904127666,"Festpräludium : zu dem Choral ""Ein' feste Burg ist unser Gott"": für die Orgel, op. 38",16002795,16002791,15990789,,,,,,
15992345,KCA-030904127666,"Festpräludium : zu dem Choral ""Ein' feste Burg ist unser Gott"": für die Orgel, op. 38",16002795,16002792,15996312,,29705,,,,
15992346,KCA-030902687190,"Adoration Opus 21",16002797,16002143,15996312,,5474,,,,
15992346,KCA-030902687190,"Adoration Opus 21",16002797,15996205,15990792,,,,,,
15992346,KCA-030902687190,"Adoration Opus 21",16002797,16002796,15990789,,,,,,
15992352,KCA-030903994140,"Six ecossaises",,16002139,15990790,,,,,,
15992352,KCA-030903994140,"Six ecossaises",,16002138,15996312,1916,,,,,
15992352,KCA-030903994140,"Six ecossaises",,15995925,15990789,1823,,,,,
15992352,KCA-030903994140,"Six ecossaises",,15996205,15990792,,,,,,
15992353,KCA-030902146916,"1re Suite",16002453,16002798,15996312,,5474,,,,
15992353,KCA-030902146916,"1re Suite",16002453,15996205,15990792,,,,,,
15992353,KCA-030902146916,"1re Suite",16002453,15996062,15990789,,,,,,
15992354,KCA-030902146932,"1re Suite",16002453,15996062,15990789,,,,,,
15992354,KCA-030902146932,"1re Suite",16002453,16002798,15996312,,5474,,,,
15992354,KCA-030902146932,"1re Suite",16002453,15996205,15990792,,,,,,
15992355,KCA-030903966619,"1re Suite",16002453,15996062,15990789,,,,,,
15992355,KCA-030903966619,"1re Suite",16002453,16002798,15996312,,5474,,,,
15992355,KCA-030903966619,"1re Suite",16002453,16002454,15990792,1925,,,,,
15992356,KCA-030902415212,"1re Suite",16002453,15996062,15990789,,,,,,
15992356,KCA-030902415212,"1re Suite",16002453,16004024,15996312,,47086,,,,
15992356,KCA-030902415212,"1re Suite",16002453,15996205,15990792,,,,,,
15992357,KCA-030902146999,"2e suite",16002453,15996062,15990789,,,,,,
15992357,KCA-030902146999,"2e suite",16002453,16002798,15996312,,5474,,,,
15992357,KCA-030902146999,"2e suite",16002453,15996205,15990792,,,,,,
15992359,KCA-030902147054,"2e suite",16002453,15996062,15990789,,,,,,
15992359,KCA-030902147054,"2e suite",16002453,15996205,15990792,,,,,,
15992359,KCA-030902147054,"2e suite",16002453,16002798,15996312,,5474,,,,
15992361,KCA-030903966585,"2e suite",16002453,15996062,15990789,,,,,,
15992361,KCA-030903966585,"2e suite",16002453,16002454,15990792,,,,,,
15992361,KCA-030903966585,"2e suite",16002453,16002798,15996312,,5474,,,,
15992362,KCA-030902415188,Ballade,16002453,15996205,15990792,,,,,,
15992362,KCA-030902415188,Ballade,16002453,15996062,15990789,,,,,,
15992362,KCA-030902415188,Ballade,16002453,16002798,15996312,,5474,,,,
15992364,KCA-030902147005,Ballade,16002453,15996205,15990792,,,,,,
15992364,KCA-030902147005,Ballade,16002453,15996062,15990789,,,,,,
15992364,KCA-030902147005,Ballade,16002453,16002798,15996312,,5474,,,,
15992365,KCA-030902565354,"3e Suite",16002453,15996062,15990789,,,,,,
15992365,KCA-030902565354,"3e Suite",16002453,16002798,15996312,,5474,,,,
15992365,KCA-030902565354,"3e Suite",16002453,15996205,15990792,,,,,,
15992366,KCA-030903966601,"3e Suite",16002453,15996062,15990789,,,,,,
15992366,KCA-030903966601,"3e Suite",16002453,16004027,15996312,,5474,,,,
15992366,KCA-030903966601,"3e Suite",16002453,15996205,15990792,,,,,,
15992367,KCA-030902565446,"4e Suite",16002453,15996062,15990789,,,,,,
15992367,KCA-030902565446,"4e Suite",16002453,16004028,15990792,,5544,,,,
15992367,KCA-030902565446,"4e Suite",16002453,16002798,15996312,,47086,,,,
15992368,KCA-030902565479,"4e Suite",16002453,15996062,15990789,,,,,,
15992368,KCA-030902565479,"4e Suite",16002453,15996205,15990792,,,,,,
15992368,KCA-030902565479,"4e Suite",16002453,16004027,15996312,,5474,,,,
15992368,KCA-030902565479,"4e Suite",16002453,16002798,15996312,,5474,,,,
15992369,KCA-030903966593,"4e Suite",16002453,15996062,15990789,,,,,,
15992369,KCA-030903966593,"4e Suite",16002453,15996205,15990792,,,,,,
15992369,KCA-030903966593,"4e Suite",16002453,16002143,15996312,,5474,,,,
15992370,KCA-030902565487,"5e suite",16002453,15996062,15990789,,,,,,
15992370,KCA-030902565487,"5e suite",16002453,15996205,15990792,,,,,,
15992370,KCA-030902565487,"5e suite",16002453,16002798,15996312,,47086,,,,
15992371,KCA-030901506086,"Quatrième fantasia (fantastique), op. 20",16004098,15996062,15990789,,,,,,
15992371,KCA-030901506086,"Quatrième fantasia (fantastique), op. 20",16004098,16004030,15996312,,47086,,,,
15992371,KCA-030901506086,"Quatrième fantasia (fantastique), op. 20",16004098,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004092,15996062,15990789,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004092,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004092,16002798,15996312,,5474,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004092,15996231,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004092,16004030,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004093,15996062,15990789,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004093,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004093,16002798,15996312,,5474,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004093,15996231,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004093,16004030,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004094,15996062,15990789,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004094,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004094,16002798,15996312,,5474,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004094,15996231,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004094,16004030,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004095,15996062,15990789,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004095,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004095,16002798,15996312,,5474,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004095,15996231,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004095,16004030,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004096,15996062,15990789,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004096,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004096,16002798,15996312,,5474,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004096,15996231,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004096,16004030,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004097,15996062,15990789,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004097,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004097,16002798,15996312,,5474,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004097,15996231,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004097,16004030,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004098,15996062,15990789,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004098,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004098,16002798,15996312,,5474,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004098,15996231,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16004098,16004030,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16002453,15996062,15990789,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16002453,15996205,15990792,,,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16002453,16002798,15996312,,5474,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16002453,15996231,15996312,,47086,,,,
15992372,KCA-030902146890,"Convoluut : werken voor piano.",16002453,16004030,15996312,,47086,,,,
15992373,KCA-030902146544,"Rubens-marsch: op motiven der Rubens-cantate",16004099,15996062,15990789,,,,,,
15992373,KCA-030902146544,"Rubens-marsch: op motiven der Rubens-cantate",16004099,15996205,15996312,1877,5544,,,,
15992373,KCA-030902146544,"Rubens-marsch: op motiven der Rubens-cantate",16004099,15996205,15990792,,,,,,
15992374,KCA-030901514759,"Fantasia: piano-forte",,,15990789,,,,,,
15992374,KCA-030901514759,"Fantasia: piano-forte",,15996205,15990792,,,,,,
15992374,KCA-030901514759,"Fantasia: piano-forte",,16004101,15996312,,5544,,,,
