id,qid,nodegoat_id,label,qid_label,property
4cQKphDr,Q83404,0,Timișoara,Timișoara,Romania
Pn73fQ3N,Q19660,0,Bucharest,Bucharest,Romania
d3J9stPx,Q609134,0,Joinville-le-Pont,Joinville-le-Pont,France
YEUtoF36,Q2891347,0,Batignolles-Monceau,Batignolles-Monceau,France
o83fMws4,Q36433,0,Porto,Porto,Portugal
karjSL3s,Q4120832,0,Königsberg,Königsberg,Prussia
buq9GpGb,Q4100,0,Baden-Baden,Baden-Baden,Germany
Uqz5gKai,Q3929,0,Port Louis,Port Louis,Mauritius
8ZjT3cFP,Q45240,0,Monte Carlo,Monte Carlo,Monaco
ZYndzk8g,Q25036,0,Crescentino,Crescentino,Italy
Pqaewj9f,Q30974,0,Rouen,Rouen,France
jvupt6CE,Q815721,0,Nysa,Nysa,Poland
eS93EBjb,Q818787,0,Hoegaarden,Hoegaarden,Belgium
ZkWK6BnV,Q834850,0,Borgerhout,Borgerhout,Belgium
EbnVMrca,Q1904383,0,Weert,Weert,Belgium
HtYrT7vt,Q160262,0,Caprarola,Caprarola,Italy
7V6KM4vA,Q1704244,0,Rumbeke,Rumbeke,Belgium
jNGTn9Nq,Q177728,0,Soriano nel Cimino,Soriano nel Cimino,Italy
ccLL7z6z,Q2656,0,Palermo,Palermo,Italy
C5fbftKX,Q16196,0,Province of Latina,Province of Latina,Italy
f9djjLJd,Q124110,0,Loreto,Loreto,Italy
UxptXrBC,Q345331,0,Łańcut,Łańcut,Poland
ich5QbC6,Q2845761,0,former 8th arrondissement of Paris,former 8th arrondissement of Paris,France
UAsHfa4y,Q44160,0,Toulon,Toulon,France
iS4kQz4H,Q2742,0,Münster,Münster,Germany
YfN8FV5P,Q4011,0,Wesel,Wesel,Germany
Y9TFq2VL,Q2749,0,Augsburg,Augsburg,Germany
eJmMkrYF,Q2790,0,Udine,Udine,Italy
RvAc2jXn,Q15912,0,Municipality of Ribnica,Municipality of Ribnica,Slovenia
XMU4WE3Z,Q2596325,0,Ribnica,Ribnica,Slovenia
jDhrg8SX,Q156080,0,Opava,Opava,Czech Republic
XsemBD2v,Q5990,0,Vercelli,Vercelli,Italy
AiJUxaJd,Q1279726,0,Ebersberg,Ebersberg,Germany
KjFUKQ53,Q1993558,0,Vergnies,Vergnies,Belgium
dovA3X2G,Q1241308,0,Passy,Passy,France
BrGDbQMx,Q391953,0,Ermenonville,Ermenonville,France
fbR7p85K,Q6397,0,Avignon,Avignon,France
cHNBXqjF,Q212793,0,Charenton-le-Pont,Charenton-le-Pont,France
V4y6457i,Q1332796,0,Andelot-Blancheville,Andelot-Blancheville,France
BhJe65Fk,Q1166602,0,Domont,Domont,France
fVkLFh9e,Q208794,0,Lunéville,Lunéville,France
7jcLcbUX,Q189960,0,Westminster,Westminster,United Kingdom
n3iVJsjM,Q23092,0,Nottinghamshire,Nottinghamshire,United Kingdom
LPPjLsLK,Q23157,0,Somerset,Somerset,United Kingdom
DdDPTcrP,Q23090,0,Lincolnshire,Lincolnshire,United Kingdom
cSBUDXaw,Q1008415,0,Stondon Massey,Stondon Massey,United Kingdom
BzgzuT8t,Q235,0,Monaco,Monaco,Monaco
b7dYFHUa,Q192368,0,Vence,Vence,France
HDz79C6j,Q574429,0,Seeheim-Jugenheim,Seeheim-Jugenheim,Germany
m2fLiMsU,Q47465,0,Aix-en-Provence,Aix-en-Provence,France
hUsdvcFr,Q209814,0,Guebwiller,Guebwiller,France
NashhWHM,Q3141,0,Melbourne,Melbourne,Australia
eEBUzcNC,Q98036053,0,Richmond,Richmond,Australia
3hWfto8B,Q1897,0,Cagliari,Cagliari,Italy
DHqBUper,Q13320,0,Savona,Savona,Italy
5hXiBtGn,Q1308,0,Como,Como,Italy
HTGMNJGB,Q1844,0,Vaduz,Vaduz,Liechtenstein
5pTGCYYY,Q2297044,0,Ilford,Ilford,United Kingdom
gieRSCuN,Q2679243,0,Woodford Green,Woodford Green,United Kingdom
nFRxeXYZ,Q29303,0,Canterbury,Canterbury,United Kingdom
CwUYdxiJ,Q1381167,0,Sceaux-du-Gâtinais,Sceaux-du-Gâtinais,France
RmK6m9pk,Q815948,0,Gistel,Gistel,Belgium
YEJyVtYU,Q370804,0,Ofatinți,Ofatinți,Moldova
BqcksJYr,Q178310,0,Petergof,Petergof,Russia
VgWRoahk,Q234735,0,Meudon,Meudon,France
cEMe8RPA,Q10282,0,Pamplona,Pamplona,Spain
ENoVhPcd,Q132790,0,Biarritz,Biarritz,France
mgcA9gDg,Q11299,0,Manhattan,Manhattan,United States of America
Mh9YWeUn,Q724238,0,Edegem,Edegem,Belgium
HXcrezvc,Q642810,0,Missolonghi,Missolonghi,Greece
QTnY36vY,Q15336,0,Tikhvin,Tikhvin,Russia
C47ucAZB,Q3835698,0,Lyubensk,Lyubensk,Russia
MJgZj7MG,Q72,0,Zurich,Zurich,Switzerland
e4bM5vcc,Q4214859,0,Karevo,Karevo,Russia
AJ9DsBeF,Q2214,0,Pskov,Pskov,Russia
cUEwJR9e,Q206988,0,Cheltenham,Cheltenham,United Kingdom
hxmLtp8U,Q3852,0,Worms,Worms,Holy Roman Empire
Vs8biJF2,Q8621,0,Terni,Terni,Italy
GJPs2Prs,Q645382,0,Sanitz,Sanitz,Germany
M8hA3LmY,Q98034450,0,Teutendorf,Teutendorf,Germany
RJuGyqmP,Q5128,0,Woerden,Woerden,Netherlands
AkFJMLpt,Q34370,0,Rotterdam,Rotterdam,Netherlands
Y6J8nUJ6,Q1693076,0,Stratford-on-Avon,Stratford-on-Avon,United Kingdom
gdGLgxyG,Q487070,0,Dessau,Dessau,Germany
ber4Q6Y3,Q189419,0,Zemun,Zemun,Serbia
NUxuYFQd,Q196996,0,Zeulenroda,Zeulenroda,Germany
BHHwjkB4,Q6602,0,Strasbourg,Strasbourg,France
aFhvv377,Q258622,0,Geiselgasteig,Geiselgasteig,Germany
HoqygEsg,Q52265016,0,Harlaching,Harlaching,Germany
kWBNtuJY,Q912106,0,Merchtem,Merchtem,Belgium
T363SwX4,Q841396,0,Pont-de-Roide-Vermondans,Pont-de-Roide-Vermondans,France
cpU3CLq9,Q685895,0,Tierceville,Tierceville,France
J3nRMGnQ,Q133838,0,Votkinsk,Votkinsk,Russia
kf3nZG2b,Q30159190,0,"Malaya Morskaya Street, 13","Malaya Morskaya Street, 13",Soviet Union
5kDYYyu7,Q3475052,0,Sinaai,Sinaai,Belgium
bvQMRZej,Q277162,0,Hammersmith,Hammersmith,United Kingdom
hoMFZs5A,Q1309,0,Maastricht,Maastricht,Netherlands
GeCMnv78,Q3392580,0,Ploujean,Ploujean,France
aSj2yDYD,Q3367868,0,Fulham,Fulham,United Kingdom
7ghwQt8T,Q486450,0,Baden,Baden,Austria
TF3dVVaX,Q999950,0,Kaliště,Kaliště,Czech Republic
esDwjdAF,Q1406659,0,Kaliště,Kaliště,Czech Republic
cFR6nVXh,Q365,0,Cologne,Cologne,Germany
2dsSyB68,Q692390,0,Friedenau,Friedenau,Germany
Y59WH8ZP,Q155281,0,Kuldīga,Kuldīga,Latvia
kf5zKxN8,Q209834,0,Pamiers,Pamiers,France
Hy6Yxd2K,Q13765,0,Puigcerdà,Puigcerdà,Spain
gUYSE2M4,Q216,0,Vilnius,Vilnius,Lithuania
mnJ5ETaC,Q3322455,0,Montaud,Montaud,France
iLfYcA3R,Q81722,0,Kamenz,Kamenz,Germany
CryiACKA,Q25610,0,Hampstead,Hampstead,United Kingdom of Great Britain and Ireland
dDKDwjWr,Q913386,0,Scunthorpe,Scunthorpe,United Kingdom
E2LkCZm2,Q668630,0,Péruwelz,Péruwelz,Belgium
R9wV9cS6,Q1785561,0,Koudekerke,Koudekerke,Netherlands
UtGfBPx9,Q107356996,0,Ter Hooge,Ter Hooge,Netherlands
Nhkhinid,Q2347146,0,Aerdenhout,Aerdenhout,Netherlands
T9eWy28B,Q9908,0,Bloemendaal,Bloemendaal,Netherlands
LkrSG9qd,Q17747439,0,Klein-Willebroek,Klein-Willebroek,Belgium
RnTdUMFY,Q528222,0,Bonheiden,Bonheiden,Belgium
7Qd9faLY,Q536722,0,Lübtheen,Lübtheen,Germany
Vqrd3CgV,Q2384,0,Bergedorf,Bergedorf,Germany
BCNdTNFh,Q2282694,0,Hanzinne,Hanzinne,Belgium
9tUNpEZc,Q7070,0,Eisenach,Eisenach,Germany
LopakCZz,Q464955,0,Windsor,Windsor,United Kingdom
GCoALpyd,Q94978,0,Tolentino,Tolentino,Italy
muDEwv5D,Q13134,0,Pesaro,Pesaro,Italy
Avdx8mhj,Q72288,0,Nola,Nola,Italy
nBvQXgEp,Q13318,0,Imperia,Imperia,Italy
523WyjKE,Q2119652,0,Oneglia,Oneglia,Italy
d5Z68PVs,Q727,0,Amsterdam,Amsterdam,Netherlands
mKRBMxaf,Q191066,0,15th arrondissement of Paris,15th arrondissement of Paris,France
